Marca temporal,"1.- Datos demográficos del cliente
¿Qué edad tiene?:",2.- Género:,3.- ¿Qué nivel educativo tiene?,4.- ¿Cuántos miembros compone su familia?,5.- ¿Con qué frecuencia conduce?,6.- ¿Qué tipo de carreteras utiliza con más frecuencia?,7.- ¿Con qué frecuencia conduce por la noche?,8.- ¿Qué tan preocupado está por la seguridad de sus vehículos y activos?,9.- ¿Ha sido víctima de algún robo o hurto en los últimos 5 años?,10.- ¿Qué le motiva a comprar un servicio de rastreo satelital?,"11.- Si tuviera Ud. Rastreo Satelital, ¿Qué considera importante rastrear?",12.- ¿Con qué frecuencia utilizaría el rastreo satelital?,13.- ¿Qué características del servicio de rastreo satelital son mas importantes para Ud.?,14.- ¿Cómo Ud se enteró que existe el servicio de rastreo satelital?,15.- ¿Qué otras soluciones de seguridad utiliza en su vehículo?,16.- ¿Qué considera Ud. que necesita una aplicación móvil para rastrear vehículos y activos?,17.- ¿Qué tipo de beneficios busca al utilizar un servicio de rastreo satelital?,18.- ¿Ha recibido alguna vez alertas de seguridad o emergencias relacionadas con su ubicación?,19.- ¿Conoce Ud. el proceso para adquirir un servicio de rastreo satelital?,20.- ¿Prefiere comprar el rastreo satelital en efectivo o a crédito?,21.- ¿Ha tenido alguna vez problemas con el robo o la pérdida de sus vehículos?,22.- ¿Qué tan importante es para usted tener acceso a la información en tiempo real sobre la ubicación de sus vehículos o activos?,23.- ¿Qué empresas de rastreo satelital conoce?
2024/05/01 8:02:28 p. m. GMT-5,45 a 54 años,Femenino,Universitario,4-6 miembros,Nunca,Calles urbanas,Nunca,Preocupado,No,Seguridad;Tranquilidad,Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,"Publicidad en radio, tv, prensa",Sistemas de alarma;Cámaras de seguridad,Imágenes en 3D,Protección de sus vehículos;Monitoreo en tiempo real,Si,No,Efectivo,No,Importartante,Ninguna
2024/05/08 9:43:25 p. m. GMT-5,45 a 54 años,Masculino,Bachillerato,1-3 miembros,Varias veces a la semana,Bus,Diariamente,Preocupado,Si,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Hunter
2024/05/02 12:35:12 p. m. GMT-5,25 a 35 años,Femenino,Posgrado,1-3 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de personas,Anualmente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Imágenes en 3D,Protección de sus vehículos;Alertas de emergencia,No,No,Crédito,No,Importartante,Hunter
2024/05/02 1:42:01 p. m. GMT-5,25 a 35 años,Femenino,Universitario,4-6 miembros,Menos de una vez a la semana,Bus,Ocasionalmente,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,Ninguna
2024/05/02 10:53:47 p. m. GMT-5,45 a 54 años,Femenino,Secundaria,4-6 miembros,Diariamente,Calles urbanas,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,No,Crédito,No,Importartante,ninguno
2024/05/01 9:05:43 p. m. GMT-5,35 a 44 años,Femenino,Secundaria,4-6 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad;Tranquilidad;Eficiencia,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados,No,No,Crédito,No,Importartante,Ninguna 
2024/05/02 6:34:01 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Neutral,Si,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Efectivo,No,Importartante,No
2024/05/01 9:20:32 p. m. GMT-5,25 a 35 años,Masculino,Posgrado,1-3 miembros,Varias veces a la semana,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Precisión de rastreo,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,Si,Si,Crédito,No,Importartante,Chevystar
2024/05/01 8:08:02 p. m. GMT-5,35 a 44 años,Masculino,Técnico,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Control,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,No,No,Efectivo,No,Importartante,No
2024/05/02 2:24:45 p. m. GMT-5,35 a 44 años,Masculino,Técnico,1-3 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,Si,No,Crédito,No,Importartante,Ninguna 
2024/05/01 9:13:37 p. m. GMT-5,55 a 64 años,Masculino,Posgrado,7 o más miembros,Menos de una vez a la semana,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de personas,Diariamente,Precisión de rastreo,Recomendación de un amigo o familiar,Cámaras de seguridad,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,No,Efectivo,No,Importartante,Ninguna
2024/05/02 1:28:24 p. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Semanalmente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Poco Importante,Ninguna
2024/05/01 7:37:45 p. m. GMT-5,35 a 44 años,Femenino,Universitario,4-6 miembros,Diariamente,Bus,Ocasionalmente,Neutral,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Vía telefónica (Whatsapp),Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Efectivo,No,Importartante,Hunter
2024/05/01 9:26:30 p. m. GMT-5,25 a 35 años,Femenino,Universitario,4-6 miembros,Menos de una vez a la semana,Carreteras secundarias,Ocasionalmente,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso,Publicidad en redes sociales o plataformas digitales,Cámaras de seguridad,Imágenes en 3D,Protección de sus vehículos,No,No,Efectivo,No,Importartante,Rastreo 365
2024/05/01 7:47:04 p. m. GMT-5,25 a 35 años,Femenino,Posgrado,4-6 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Mensualmente,Precisión de rastreo;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma;Control de acceso automático y remoto,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,Ninguna 
2024/05/06 4:01:11 p. m. GMT-5,25 a 35 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,Hunter
2024/05/02 6:52:20 p. m. GMT-5,45 a 54 años,Masculino,Técnico,1-3 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso,Publicidad en redes sociales o plataformas digitales,Control de acceso automático y remoto,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Cartetrak
2024/05/02 12:57:09 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,4-6 miembros,Diariamente,Autopistas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso,"Publicidad en radio, tv, prensa",Sistemas de alarma,Imágenes en 3D,Protección de sus vehículos,No,Si,Crédito,No,Importartante,Hunter
2024/05/02 7:01:45 p. m. GMT-5,45 a 54 años,Masculino,Básico,4-6 miembros,Varias veces a la semana,Bus,Nunca,Nada Preocupado,No,Seguridad,Rastreo de mercadería,Semanalmente,Atención al cliente,"Publicidad en radio, tv, prensa",Ninguna,Nada,Alertas de emergencia,No,No,Crédito,No,Importartante,Ningúna
2024/05/02 10:07:43 a. m. GMT-5,35 a 44 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Preocupado,No,Control,Rastreo de mercadería,Anualmente,Precios y Beneficios,"Publicidad en radio, tv, prensa",Cámaras de seguridad,Imágenes en 3D,Informes detallados,No,No,Crédito,Si,Nada Importante,Hunter
2024/05/03 4:04:00 p. m. GMT-5,45 a 54 años,Femenino,Secundaria,4-6 miembros,Diariamente,Carreteras secundarias,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de personas,Diariamente,Precisión de rastreo,Precisión de rastreo,Ninguna,Descono,Monitoreo en tiempo real,No,No,Efectivo,Si,Importartante,Ninguna 
2024/05/01 8:03:10 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Menos de una vez a la semana,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Funciones de los informes;Precios y Beneficios;Atención al cliente,Por la aseguradora,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Alertas de emergencia,No,No,Crédito,Si,Importartante,Hunter 
2024/05/01 7:55:39 p. m. GMT-5,25 a 35 años,Femenino,Universitario,4-6 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Neutral,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,Si,Efectivo,No,Importartante,Hunter 
2024/05/01 5:15:51 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,7 o más miembros,Diariamente,Autopistas,Varias veces a la semana,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto;Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,Si,Si,Efectivo,No,Importartante,Hunter
2024/05/01 8:59:57 p. m. GMT-5,45 a 54 años,Femenino,Universitario,1-3 miembros,Diariamente,Calles urbanas,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Semanalmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,rastreo 365
2024/05/01 7:40:33 p. m. GMT-5,35 a 44 años,Femenino,Secundaria,4-6 miembros,Diariamente,Bus,Diariamente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,Hunter
2024/05/02 12:51:00 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,1-3 miembros,Diariamente,Bus,Diariamente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de mercadería,Diariamente,Precisión de rastreo,"Publicidad en radio, tv, prensa",Sistemas de alarma;Control de acceso automático y remoto;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Impedir el bloqueo o corte de rastreo,No,Si,Crédito,Si,Importartante,Laar
2024/05/02 1:38:23 p. m. GMT-5,25 a 35 años,Masculino,Universitario,4-6 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,HUNTER 
2024/05/01 8:28:34 p. m. GMT-5,25 a 35 años,Masculino,Secundaria,4-6 miembros,Diariamente,Calles urbanas,Diariamente,Preocupado,Si,Seguridad,Rastreo de vehículos,Anualmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,Servipriv 
2024/05/01 5:00:08 p. m. GMT-5,45 a 54 años,Femenino,Técnico,4-6 miembros,Una vez a la semana,Caminos rurales,Diariamente,Neutral,No,Seguridad,Rastreo de vehículos,Diariamente,Facilidad de uso,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Monitoreo en tiempo real,Si,No,Crédito,No,Importartante,No conozco 
2024/05/02 7:05:23 a. m. GMT-5,45 a 54 años,Masculino,Posgrado,1-3 miembros,Diariamente,Autopistas,Ocasionalmente,Neutral,No,Seguridad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Control de acceso automático y remoto,GPS Tracker – Video tracking,Protección de sus vehículos,No,No,Efectivo,No,Importartante,Ninguna 
2024/05/02 9:27:46 p. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Varias veces a la semana,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Ninguna
2024/05/02 12:37:36 p. m. GMT-5,25 a 35 años,Femenino,Posgrado,1-3 miembros,Diariamente,Autopistas,Varias veces a la semana,Neutral,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,HUNTER
2024/05/02 4:23:15 p. m. GMT-5,45 a 54 años,Femenino,Posgrado,1-3 miembros,Varias veces a la semana,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,No conozco
2024/05/01 8:04:40 p. m. GMT-5,25 a 35 años,Femenino,Posgrado,1-3 miembros,Una vez a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Alertas de emergencia,No,No,Crédito,Si,Poco Importante,Hunter
2024/05/02 12:32:37 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Diariamente,Bus,Ocasionalmente,Nada Preocupado,No,Seguridad,Rastreo de vehículos,Anualmente,Precisión de rastreo;Facilidad de uso,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Alertas de emergencia,No,No,Crédito,No,Poco Importante,Hunter
2024/05/01 8:02:28 p. m. GMT-5,45 a 54 años,Femenino,Universitario,4-6 miembros,Nunca,Calles urbanas,Nunca,Preocupado,No,Seguridad;Tranquilidad,Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,"Publicidad en radio, tv, prensa",Sistemas de alarma;Cámaras de seguridad,Imágenes en 3D,Protección de sus vehículos;Monitoreo en tiempo real,Si,No,Efectivo,No,Importartante,Ninguna
2024/05/01 7:25:26 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,1-3 miembros,Una vez a la semana,Bus,Ocasionalmente,Preocupado,No,No tengo ,Rastreo de vehículos,Diariamente,Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Poco Importante,Hunters
2024/05/02 10:02:06 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Diariamente,Autopistas,Diariamente,Neutral,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,Hunter
2024/05/01 8:10:07 p. m. GMT-5,45 a 54 años,Masculino,Bachillerato,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,Si,Si,Crédito,No,Importartante,Carseg
2024/05/01 10:59:31 p. m. GMT-5,35 a 44 años,Masculino,Universitario,1-3 miembros,Diariamente,Calles urbanas,Ocasionalmente,Neutral,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso,Trabaje en monitoreo ,Sistemas de alarma;GPS inalámbrico independiente,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,"Cgb, hunter, laarcom"
2024/05/02 9:30:53 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,4-6 miembros,Varias veces a la semana,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,Si,No,Efectivo,No,Importartante,Hunter
2024/05/02 6:44:20 p. m. GMT-5,35 a 44 años,Masculino,Secundaria,1-3 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,No,No,Crédito,No,Importartante,Ninguna 
2024/05/01 7:57:53 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,No,Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Crédito,No,Importartante,Hunter
2024/05/02 1:28:24 p. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Semanalmente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Poco Importante,Ninguna
2024/05/02 2:24:45 p. m. GMT-5,35 a 44 años,Masculino,Técnico,1-3 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,Si,No,Crédito,No,Importartante,Ninguna 
2024/05/03 5:26:29 p. m. GMT-5,35 a 44 años,Masculino,Secundaria,4-6 miembros,Diariamente,Carreteras secundarias,Ocasionalmente,Preocupado,No,Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,No,No,Efectivo,No,Importartante,Ninguna
2024/05/01 7:29:24 p. m. GMT-5,35 a 44 años,Masculino,Universitario,4-6 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos,No,No,Crédito,No,Importartante,Ninguna 
2024/05/02 9:30:53 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,4-6 miembros,Varias veces a la semana,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,Si,No,Efectivo,No,Importartante,Hunter
2024/05/01 7:35:15 p. m. GMT-5,35 a 44 años,Masculino,Universitario,4-6 miembros,Varias veces a la semana,Bus,Varias veces a la semana,Preocupado,No,Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,Traklin 
2024/05/01 8:59:57 p. m. GMT-5,45 a 54 años,Femenino,Universitario,1-3 miembros,Diariamente,Calles urbanas,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Semanalmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,rastreo 365
2024/05/02 1:51:16 p. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Una vez a la semana,Bus,Ocasionalmente,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de mercadería,Anualmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,Si,Si,Efectivo,Si,Importartante,GT110
2024/05/01 7:51:45 p. m. GMT-5,25 a 35 años,Masculino,Posgrado,1-3 miembros,Diariamente,Autopistas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de mercadería,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,GPS inalámbrico independiente,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Hunter 
2024/05/02 8:48:20 a. m. GMT-5,35 a 44 años,Femenino,Posgrado,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Seguridad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,Ninguna 
2024/05/01 7:34:46 p. m. GMT-5,45 a 54 años,Masculino,Técnico,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Semanalmente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Cámaras de seguridad,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,No,Si,Crédito,No,Importartante,Hunter 
2024/05/02 10:10:03 p. m. GMT-5,35 a 44 años,Femenino,Secundaria,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,Si,Control,Rastreo de vehículos,Anualmente,Precisión de rastreo,Por compra de carro ,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,Si,Importartante,Trac clin
2024/05/02 8:48:20 a. m. GMT-5,35 a 44 años,Femenino,Posgrado,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Seguridad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,Ninguna 
2024/05/06 1:37:09 p. m. GMT-5,45 a 54 años,Femenino,Secundaria,1-3 miembros,Diariamente,Calles urbanas,Ocasionalmente,Neutral,No,Seguridad;Tranquilidad;Control;Eficiencia,Rastreo de vehículos;Rastreo de personas,Anualmente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Vía telefónica (Whatsapp),Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,Ninguna
2024/05/02 12:45:56 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Diariamente,Autopistas,Diariamente,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Anualmente,Precisión de rastreo;Facilidad de uso;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,Si,Importartante,hunter
